Age,BusinessTravel,DailyRate,CostOfHiring,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlySalary,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
40,Travel_Rarely,1171,2656,Research & Development,Master,Life Sciences,Very High,Female,Laboratory Technician,High,Married,2213,3,Yes,Excellent,10,3,7,1,7,No
21,Non-Travel,895,3132,Sales,College,Medical,Low,Male,Sales Representative,Very High,Single,2610,1,No,Outstanding,3,3,3,2,2,No
33,Travel_Rarely,350,3421,Sales,Bachelor,Marketing,Very High,Female,Sales Representative,High,Single,2851,1,Yes,Excellent,1,2,1,0,0,Yes
37,Travel_Rarely,921,4142,Research & Development,Bachelor,Medical,High,Female,Laboratory Technician,Low,Married,3452,6,No,Outstanding,17,3,5,0,3,No
46,Non-Travel,1144,6310,Research & Development,Master,Medical,High,Female,Manufacturing Director,High,Married,5258,2,No,Excellent,7,2,1,0,0,No
41,Travel_Frequently,143,11226,Sales,Bachelor,Marketing,Low,Male,Sales Executive,Medium,Single,9355,1,No,Excellent,8,5,8,7,7,Yes
50,Travel_Rarely,1046,12595,Research & Development,Bachelor,Technical Degree,Very High,Male,Healthcare Representative,Very High,Single,10496,6,No,Excellent,20,2,4,1,3,No
40,Travel_Rarely,575,7656,Sales,College,Marketing,High,Male,Sales Executive,High,Married,6380,2,Yes,Excellent,8,6,6,1,0,Yes
31,Travel_Rarely,408,3188,Research & Development,Master,Life Sciences,High,Male,Research Scientist,Medium,Single,2657,0,Yes,Excellent,3,5,2,2,2,No
21,Travel_Rarely,156,3259,Sales,Bachelor,Life Sciences,High,Female,Sales Representative,Medium,Single,2716,1,No,Excellent,1,0,1,0,0,Yes
29,Travel_Rarely,1283,2641,Research & Development,Bachelor,Life Sciences,Very High,Male,Research Scientist,Very High,Single,2201,9,No,Excellent,6,4,3,1,2,No
35,Travel_Rarely,755,7848,Research & Development,Master,Life Sciences,High,Male,Healthcare Representative,Medium,Single,6540,9,No,Excellent,10,5,1,0,0,No
27,Travel_Rarely,1469,4579,Research & Development,College,Medical,Very High,Male,Laboratory Technician,Medium,Divorced,3816,1,No,Excellent,5,2,5,0,4,No
28,Travel_Rarely,304,6304,Sales,Master,Life Sciences,Medium,Male,Sales Executive,Very High,Single,5253,1,No,Excellent,7,1,7,0,7,No
49,Travel_Rarely,1261,13158,Research & Development,Bachelor,Other,Medium,Male,Healthcare Representative,High,Single,10965,8,No,Outstanding,26,2,5,0,0,No
51,Travel_Rarely,1178,5923,Sales,College,Life Sciences,High,Female,Sales Executive,Very High,Married,4936,4,No,Excellent,18,2,7,0,7,No
36,Travel_Rarely,329,3052,Research & Development,Bachelor,Life Sciences,Very High,Female,Research Scientist,High,Married,2543,4,No,Excellent,6,3,2,2,2,No
34,Non-Travel,1362,6365,Sales,Bachelor,Marketing,Low,Male,Sales Executive,Very High,Single,5304,8,Yes,Excellent,9,3,5,0,4,Yes
55,Travel_Rarely,1311,19991,Research & Development,Bachelor,Life Sciences,High,Female,Manager,Very High,Single,16659,2,Yes,Excellent,30,2,5,1,2,No
24,Travel_Rarely,1371,5112,Sales,Master,Marketing,Very High,Female,Sales Executive,High,Divorced,4260,1,Yes,Excellent,5,2,5,0,3,No
30,Travel_Rarely,202,2971,Sales,Below College,Technical Degree,High,Male,Sales Representative,Medium,Married,2476,1,No,Excellent,1,3,1,0,0,No
26,Travel_Frequently,575,3722,Research & Development,Below College,Technical Degree,High,Male,Research Scientist,Low,Single,3102,0,No,Outstanding,7,2,6,0,4,Yes
22,Travel_Rarely,253,2693,Research & Development,Bachelor,Medical,Low,Female,Research Scientist,Medium,Married,2244,1,No,Excellent,2,1,2,1,2,No
36,Travel_Rarely,164,9115,Sales,College,Medical,Medium,Male,Sales Executive,High,Married,7596,1,No,Excellent,10,2,10,9,0,No
30,Travel_Frequently,464,2742,Research & Development,Bachelor,Technical Degree,High,Male,Research Scientist,Very High,Single,2285,9,Yes,Outstanding,3,4,1,0,0,Yes
37,Travel_Rarely,1107,3641,Research & Development,Bachelor,Life Sciences,Very High,Female,Laboratory Technician,Low,Divorced,3034,1,No,Excellent,18,2,18,12,17,No
40,Travel_Rarely,759,6858,Sales,College,Marketing,Very High,Female,Sales Executive,Medium,Divorced,5715,7,No,Excellent,8,5,5,1,3,No
42,Travel_Rarely,201,3091,Research & Development,Master,Life Sciences,Medium,Female,Laboratory Technician,Low,Divorced,2576,3,No,Excellent,8,5,5,1,2,No
37,Travel_Rarely,1305,5036,Research & Development,Master,Life Sciences,High,Male,Manufacturing Director,Medium,Single,4197,2,Yes,Excellent,18,2,1,0,1,No
43,Travel_Rarely,982,17203,Research & Development,Bachelor,Life Sciences,Low,Male,Research Director,Medium,Divorced,14336,1,No,Excellent,25,3,25,3,9,No
40,Travel_Rarely,555,4138,Research & Development,Bachelor,Medical,Medium,Female,Laboratory Technician,High,Married,3448,6,No,Outstanding,20,3,1,0,0,No
54,Travel_Rarely,821,23287,Research & Development,College,Medical,Low,Male,Research Director,Low,Married,19406,4,No,Excellent,24,4,4,1,2,No
34,Non-Travel,1381,7846,Sales,Master,Marketing,High,Female,Sales Executive,High,Married,6538,9,No,Excellent,6,3,3,1,2,No
31,Travel_Rarely,480,5167,Research & Development,College,Medical,Medium,Female,Manufacturing Director,Low,Married,4306,1,No,Excellent,13,5,13,3,12,No
43,Travel_Frequently,313,2710,Research & Development,Bachelor,Medical,Very High,Male,Laboratory Technician,Very High,Married,2258,7,No,Outstanding,8,1,3,1,2,No
43,Travel_Rarely,1473,5426,Research & Development,Master,Other,High,Female,Healthcare Representative,High,Divorced,4522,4,Yes,Excellent,8,3,5,0,2,No
25,Travel_Rarely,891,5384,Sales,College,Life Sciences,Medium,Female,Sales Executive,Very High,Single,4487,1,Yes,Excellent,5,3,5,1,3,No
37,Non-Travel,1063,5339,Research & Development,Doctor,Medical,Medium,Female,Research Scientist,High,Married,4449,3,Yes,Excellent,15,2,13,10,7,No
31,Travel_Rarely,329,2662,Research & Development,College,Life Sciences,Very High,Male,Laboratory Technician,Low,Married,2218,1,No,Excellent,4,3,4,3,2,No
39,Travel_Frequently,1218,23036,Research & Development,Below College,Life Sciences,Medium,Male,Manager,High,Divorced,19197,1,Yes,Excellent,21,3,21,1,6,No
56,Travel_Frequently,906,15854,Sales,Bachelor,Life Sciences,High,Female,Sales Executive,Low,Married,13212,9,No,Excellent,36,0,7,7,7,No
30,Travel_Rarely,1082,7892,Sales,Bachelor,Technical Degree,Medium,Female,Sales Executive,High,Single,6577,0,No,Excellent,6,6,5,4,4,No
41,Travel_Rarely,645,10070,Sales,Bachelor,Marketing,Medium,Male,Sales Executive,Low,Married,8392,1,No,Excellent,10,2,10,0,7,No
28,Travel_Rarely,1300,5470,Research & Development,College,Medical,High,Male,Laboratory Technician,Low,Divorced,4558,1,No,Excellent,10,2,10,1,8,No
25,Travel_Rarely,688,4837,Research & Development,Bachelor,Medical,Low,Male,Laboratory Technician,Low,Married,4031,5,No,Excellent,6,5,2,0,2,Yes
52,Travel_Rarely,319,9563,Research & Development,Bachelor,Medical,Very High,Male,Manufacturing Director,High,Married,7969,2,Yes,Excellent,28,4,5,0,4,No
45,Travel_Rarely,192,3185,Research & Development,College,Life Sciences,Low,Male,Research Scientist,Very High,Married,2654,3,No,Outstanding,8,3,2,0,2,No
52,Travel_Rarely,1490,19866,Research & Development,College,Life Sciences,Very High,Female,Manager,Very High,Married,16555,2,No,Excellent,31,2,5,1,4,No
42,Travel_Frequently,532,5467,Research & Development,College,Life Sciences,Low,Female,Research Scientist,High,Divorced,4556,2,No,Excellent,19,3,5,0,2,No
30,Travel_Rarely,317,7309,Research & Development,Bachelor,Life Sciences,High,Female,Manufacturing Director,Very High,Single,6091,2,No,Outstanding,11,2,5,0,2,No
60,Travel_Rarely,422,23479,Research & Development,Bachelor,Life Sciences,Low,Female,Manager,Low,Married,19566,5,No,Excellent,33,5,29,11,10,No
46,Travel_Rarely,1485,5772,Research & Development,Bachelor,Medical,High,Female,Manufacturing Director,High,Divorced,4810,2,No,Excellent,19,5,10,0,8,No
42,Travel_Frequently,1368,5428,Research & Development,Master,Technical Degree,Very High,Female,Healthcare Representative,Very High,Married,4523,0,No,Excellent,7,4,6,0,4,No
24,Travel_Rarely,1448,3842,Sales,Below College,Technical Degree,Low,Female,Sales Representative,Medium,Single,3202,1,Yes,Excellent,6,4,5,1,4,Yes
34,Travel_Frequently,296,2821,Sales,College,Marketing,Very High,Female,Sales Representative,High,Divorced,2351,0,No,Excellent,3,3,2,1,0,Yes
38,Travel_Frequently,1490,2042,Research & Development,College,Life Sciences,Very High,Male,Laboratory Technician,Very High,Married,1702,1,Yes,Outstanding,1,3,1,0,0,No
40,Travel_Rarely,1398,21649,Sales,Master,Life Sciences,High,Female,Manager,High,Married,18041,0,No,Excellent,21,2,20,1,12,No
26,Travel_Rarely,1349,3463,Research & Development,Bachelor,Life Sciences,Low,Female,Research Scientist,Very High,Divorced,2886,1,No,Outstanding,3,3,3,0,2,No
30,Non-Travel,1400,2516,Research & Development,Bachelor,Life Sciences,High,Male,Laboratory Technician,Very High,Married,2097,4,No,Excellent,9,3,5,1,4,No
29,Travel_Rarely,986,14322,Research & Development,Master,Medical,Medium,Male,Research Director,High,Married,11935,1,No,Excellent,10,2,10,0,7,No
29,Travel_Rarely,408,3055,Research & Development,Doctor,Technical Degree,High,Female,Research Scientist,Medium,Married,2546,5,No,Excellent,6,2,2,1,1,Yes
19,Travel_Rarely,489,3077,Human Resources,College,Technical Degree,Low,Male,Human Resources,Very High,Single,2564,1,No,Excellent,1,3,1,0,0,Yes
30,Non-Travel,1398,10094,Sales,Master,Other,High,Female,Sales Executive,Low,Married,8412,0,No,Excellent,10,3,9,7,8,No
57,Travel_Rarely,210,16942,Sales,Bachelor,Marketing,Low,Male,Manager,Very High,Divorced,14118,3,No,Excellent,32,3,1,0,0,No
50,Travel_Rarely,1099,20455,Research & Development,Master,Life Sciences,Medium,Male,Manager,High,Married,17046,0,No,Excellent,28,2,27,15,7,No
30,Non-Travel,1116,3077,Research & Development,Bachelor,Medical,High,Female,Laboratory Technician,Very High,Single,2564,0,No,Excellent,12,2,11,6,7,No
60,Travel_Frequently,1499,12319,Sales,Bachelor,Marketing,High,Female,Sales Executive,Low,Married,10266,4,No,Excellent,22,5,18,13,11,No
47,Travel_Rarely,983,6084,Research & Development,College,Medical,Low,Female,Manufacturing Director,Very High,Divorced,5070,5,No,Excellent,20,2,5,0,4,No
46,Travel_Rarely,1009,21433,Research & Development,Bachelor,Life Sciences,Low,Male,Research Director,High,Married,17861,6,No,Excellent,26,2,3,0,1,No
35,Travel_Rarely,144,5076,Research & Development,Bachelor,Life Sciences,Very High,Male,Laboratory Technician,High,Single,4230,0,No,Excellent,6,2,5,4,3,No
54,Travel_Rarely,548,4536,Research & Development,Master,Life Sciences,High,Female,Laboratory Technician,High,Single,3780,7,No,Excellent,19,3,1,0,0,No
34,Travel_Rarely,1303,3322,Research & Development,Master,Life Sciences,Very High,Male,Research Scientist,High,Divorced,2768,3,No,Excellent,14,3,7,5,7,No
46,Travel_Rarely,1125,10885,Sales,Bachelor,Marketing,High,Female,Sales Executive,Very High,Married,9071,2,Yes,Excellent,15,3,3,1,2,No
31,Travel_Rarely,1274,12778,Research & Development,Below College,Life Sciences,High,Male,Manufacturing Director,Medium,Divorced,10648,1,No,Outstanding,13,6,13,0,8,No
33,Travel_Rarely,1277,16332,Research & Development,Below College,Medical,Medium,Male,Manager,High,Married,13610,7,Yes,Excellent,15,2,7,7,7,Yes
33,Travel_Rarely,587,4090,Research & Development,Below College,Medical,Low,Male,Laboratory Technician,Very High,Divorced,3408,7,No,Excellent,8,2,4,1,3,Yes
30,Travel_Rarely,413,3580,Sales,Below College,Marketing,Very High,Male,Sales Representative,Medium,Single,2983,0,No,Excellent,4,3,3,1,2,No
35,Travel_Rarely,1276,9158,Research & Development,Bachelor,Life Sciences,Very High,Male,Healthcare Representative,High,Married,7632,4,Yes,Excellent,10,2,8,0,0,No
31,Travel_Frequently,534,11789,Research & Development,Bachelor,Life Sciences,Low,Male,Healthcare Representative,High,Married,9824,3,No,Excellent,12,2,1,0,0,Yes
34,Travel_Frequently,988,11940,Human Resources,Bachelor,Human Resources,Medium,Female,Human Resources,Low,Divorced,9950,9,Yes,Excellent,11,2,3,0,2,Yes
42,Travel_Frequently,1474,2512,Research & Development,College,Other,Medium,Male,Laboratory Technician,High,Married,2093,4,No,Excellent,8,4,2,2,0,No
36,Non-Travel,635,11976,Sales,Master,Medical,Medium,Male,Sales Executive,Very High,Single,9980,1,No,Excellent,10,3,10,9,7,No
22,Travel_Frequently,1368,4673,Research & Development,Below College,Technical Degree,High,Male,Laboratory Technician,High,Single,3894,5,No,Excellent,4,3,2,1,2,Yes
48,Travel_Rarely,163,4861,Sales,Doctor,Marketing,Medium,Female,Sales Executive,Very High,Married,4051,2,No,Excellent,14,2,9,6,7,No
55,Travel_Rarely,1117,20202,Sales,Doctor,Life Sciences,Low,Female,Manager,Medium,Single,16835,3,No,Outstanding,37,2,10,7,7,No
41,Non-Travel,267,7476,Sales,College,Life Sciences,Very High,Male,Sales Executive,Very High,Single,6230,7,No,Excellent,16,3,14,1,10,No
35,Travel_Rarely,619,5660,Sales,Bachelor,Marketing,Medium,Male,Sales Executive,High,Married,4717,9,No,Excellent,15,2,11,6,9,No
40,Travel_Rarely,302,15884,Research & Development,Bachelor,Life Sciences,Medium,Female,Manufacturing Director,High,Single,13237,7,No,Excellent,22,3,20,5,13,No
39,Travel_Frequently,443,4506,Research & Development,Below College,Life Sciences,High,Female,Laboratory Technician,High,Married,3755,1,No,Excellent,8,3,8,0,7,No
31,Travel_Rarely,828,7898,Sales,Below College,Life Sciences,Medium,Male,Sales Executive,Very High,Single,6582,4,Yes,Excellent,10,2,6,0,5,No
42,Travel_Rarely,319,8887,Research & Development,Bachelor,Medical,Very High,Male,Manufacturing Director,Low,Married,7406,1,Yes,Outstanding,10,5,10,5,8,No
45,Travel_Rarely,561,5766,Sales,Bachelor,Other,Very High,Male,Sales Executive,Medium,Married,4805,0,No,Excellent,9,3,8,3,7,No
26,Travel_Frequently,426,3289,Human Resources,Master,Life Sciences,Medium,Female,Human Resources,High,Divorced,2741,0,Yes,Excellent,8,2,7,1,0,Yes
29,Travel_Rarely,232,5114,Research & Development,Bachelor,Technical Degree,Very High,Male,Manufacturing Director,Very High,Divorced,4262,4,No,Excellent,8,2,3,1,2,No
33,Travel_Rarely,922,19421,Research & Development,Doctor,Medical,Low,Female,Research Director,High,Divorced,16184,4,No,Excellent,10,2,6,0,5,No
31,Travel_Rarely,688,13868,Sales,Bachelor,Life Sciences,High,Male,Manager,Very High,Divorced,11557,9,No,Outstanding,10,3,5,0,1,No
18,Travel_Frequently,1306,2254,Sales,Bachelor,Marketing,Medium,Male,Sales Representative,Medium,Single,1878,1,Yes,Excellent,0,3,0,0,0,Yes
40,Non-Travel,1094,13118,Sales,Bachelor,Other,High,Male,Sales Executive,Low,Divorced,10932,3,No,Excellent,20,2,1,0,1,No
41,Non-Travel,509,8173,Research & Development,Master,Other,Low,Female,Healthcare Representative,High,Single,6811,2,Yes,Excellent,10,3,8,0,7,No
26,Travel_Rarely,775,5167,Sales,College,Medical,Low,Male,Sales Executive,High,Divorced,4306,5,No,Excellent,8,5,0,0,0,No
35,Travel_Rarely,195,5831,Sales,Bachelor,Medical,Low,Female,Sales Executive,High,Single,4859,1,No,Excellent,5,3,5,0,3,No
34,Travel_Rarely,258,6404,Sales,Master,Life Sciences,Very High,Male,Sales Executive,Very High,Single,5337,1,No,Excellent,10,3,10,5,7,No
26,Travel_Rarely,471,2808,Research & Development,Bachelor,Technical Degree,High,Male,Laboratory Technician,Very High,Single,2340,1,Yes,Excellent,1,3,1,0,0,Yes
37,Travel_Rarely,799,8989,Research & Development,Bachelor,Technical Degree,Medium,Female,Manufacturing Director,Very High,Single,7491,4,No,Excellent,12,3,6,1,2,No
46,Travel_Frequently,1034,12632,Research & Development,Below College,Medical,Low,Female,Healthcare Representative,High,Married,10527,5,No,Excellent,28,3,2,1,2,No
41,Travel_Rarely,1276,19914,Sales,Doctor,Life Sciences,Medium,Female,Manager,Low,Married,16595,7,No,Excellent,22,2,18,11,8,No
37,Non-Travel,142,10601,Sales,Master,Medical,Low,Male,Sales Executive,Medium,Divorced,8834,1,No,Excellent,9,6,9,7,7,No
52,Travel_Rarely,956,6692,Research & Development,College,Technical Degree,Very High,Male,Research Scientist,Low,Divorced,5577,3,Yes,Excellent,18,3,10,6,9,No
32,Non-Travel,1474,5648,Sales,Master,Other,Very High,Male,Sales Executive,High,Married,4707,8,No,Excellent,6,2,4,1,2,Yes
24,Travel_Frequently,535,2880,Sales,Bachelor,Medical,Very High,Male,Sales Representative,Very High,Married,2400,0,No,Excellent,3,3,2,2,1,No
38,Travel_Rarely,1495,11789,Research & Development,Bachelor,Medical,High,Female,Healthcare Representative,High,Married,9824,3,No,Excellent,18,4,1,0,0,No
37,Travel_Rarely,446,7736,Research & Development,Master,Life Sciences,Medium,Female,Manufacturing Director,Medium,Married,6447,6,No,Excellent,8,2,6,4,3,No
49,Travel_Rarely,1245,23402,Research & Development,Master,Life Sciences,Very High,Male,Research Director,High,Divorced,19502,1,Yes,Excellent,31,5,31,0,9,No
24,Travel_Rarely,691,3270,Research & Development,Bachelor,Medical,Medium,Male,Research Scientist,Very High,Married,2725,1,Yes,Excellent,6,3,6,1,4,No
26,Travel_Rarely,703,7526,Sales,College,Marketing,Low,Male,Sales Executive,Medium,Married,6272,1,No,Outstanding,6,5,5,1,4,No
24,Travel_Rarely,823,2552,Research & Development,College,Other,Very High,Male,Laboratory Technician,Medium,Married,2127,1,No,Outstanding,1,2,1,0,0,No
50,Travel_Frequently,1246,21840,Human Resources,Bachelor,Medical,Low,Male,Manager,Medium,Married,18200,1,No,Excellent,32,2,32,10,7,No
25,Travel_Rarely,622,2515,Sales,Below College,Medical,Medium,Male,Sales Representative,High,Married,2096,1,No,Excellent,7,1,7,0,6,No
24,Travel_Frequently,1287,3463,Research & Development,Bachelor,Life Sciences,Low,Female,Laboratory Technician,High,Married,2886,1,Yes,Excellent,6,4,6,1,2,Yes
30,Travel_Frequently,448,2440,Sales,Master,Life Sciences,Medium,Male,Sales Representative,Low,Married,2033,1,No,Excellent,1,2,1,0,0,Yes
34,Travel_Rarely,254,4346,Research & Development,College,Life Sciences,Medium,Male,Research Scientist,Very High,Married,3622,1,Yes,Excellent,6,3,6,1,3,No
31,Travel_Rarely,1365,5080,Sales,Master,Medical,Medium,Male,Sales Executive,Low,Divorced,4233,2,No,Excellent,9,2,3,1,2,Yes
35,Travel_Rarely,538,4417,Research & Development,College,Other,Low,Male,Laboratory Technician,Very High,Single,3681,4,No,Excellent,9,3,3,0,2,No
31,Travel_Rarely,525,6552,Sales,Master,Medical,Low,Male,Sales Executive,Very High,Divorced,5460,4,No,Outstanding,13,4,7,5,7,No
27,Travel_Rarely,798,2624,Research & Development,Master,Medical,Low,Female,Research Scientist,High,Divorced,2187,0,No,Excellent,6,5,5,0,3,No
37,Travel_Rarely,558,11522,Sales,Bachelor,Marketing,Very High,Male,Sales Executive,High,Married,9602,4,Yes,Excellent,17,3,3,1,0,No
20,Travel_Rarely,959,3403,Research & Development,Bachelor,Life Sciences,Very High,Female,Research Scientist,Medium,Single,2836,1,No,Excellent,1,0,1,0,0,No
42,Travel_Rarely,622,4907,Research & Development,Master,Life Sciences,High,Female,Healthcare Representative,Very High,Married,4089,1,No,Excellent,10,4,10,2,2,No
43,Travel_Rarely,782,19952,Research & Development,Master,Other,Medium,Male,Research Director,Very High,Divorced,16627,4,Yes,Excellent,21,3,1,0,0,No
38,Travel_Rarely,362,3143,Research & Development,Below College,Life Sciences,High,Female,Research Scientist,Low,Single,2619,3,No,Excellent,8,3,0,0,0,No
43,Travel_Frequently,1001,6815,Research & Development,Doctor,Medical,Very High,Male,Laboratory Technician,High,Divorced,5679,3,Yes,Excellent,10,3,8,4,7,No
48,Travel_Rarely,1236,18482,Research & Development,Master,Life Sciences,Very High,Female,Manager,Low,Married,15402,7,No,Excellent,21,3,3,0,2,No
44,Travel_Rarely,1112,7182,Human Resources,Master,Life Sciences,Low,Female,Human Resources,High,Single,5985,4,No,Excellent,10,1,2,0,2,No
34,Travel_Rarely,204,3095,Sales,Bachelor,Technical Degree,High,Female,Sales Representative,High,Divorced,2579,1,Yes,Excellent,8,3,8,0,6,No
27,Travel_Rarely,1420,3649,Sales,Below College,Marketing,High,Male,Sales Representative,Low,Divorced,3041,0,No,Excellent,5,3,4,0,2,Yes
21,Travel_Rarely,1343,4136,Sales,Below College,Technical Degree,High,Male,Sales Representative,High,Single,3447,1,No,Excellent,3,2,3,1,2,No
44,Travel_Rarely,1315,23416,Research & Development,Master,Other,Very High,Male,Manager,Very High,Married,19513,4,Yes,Excellent,26,2,2,0,1,No
22,Travel_Rarely,604,3328,Research & Development,Below College,Medical,Low,Male,Research Scientist,High,Married,2773,0,No,Outstanding,3,3,2,2,2,No
33,Travel_Rarely,1216,8525,Sales,Master,Marketing,High,Male,Sales Executive,High,Divorced,7104,0,No,Excellent,6,3,5,1,2,No
32,Travel_Rarely,646,7586,Research & Development,Master,Life Sciences,Low,Female,Research Scientist,Very High,Married,6322,1,Yes,Excellent,6,2,6,0,5,No
30,Travel_Frequently,160,2500,Research & Development,Bachelor,Medical,High,Female,Research Scientist,High,Divorced,2083,1,No,Outstanding,1,2,1,0,0,No
53,Travel_Rarely,238,10057,Sales,Below College,Medical,Very High,Female,Sales Executive,Low,Single,8381,7,No,Outstanding,18,2,14,8,10,No
34,Travel_Rarely,1397,3229,Research & Development,Doctor,Life Sciences,Medium,Male,Research Scientist,Very High,Married,2691,1,No,Excellent,10,4,10,8,8,No
45,Travel_Frequently,306,5143,Sales,Master,Life Sciences,Low,Female,Sales Executive,Low,Married,4286,2,No,Excellent,5,4,1,0,0,Yes
26,Travel_Rarely,991,3191,Research & Development,Bachelor,Life Sciences,High,Female,Laboratory Technician,Very High,Married,2659,1,Yes,Excellent,3,2,3,0,2,No
37,Travel_Rarely,482,11321,Research & Development,Bachelor,Other,High,Male,Manufacturing Director,High,Married,9434,1,No,Excellent,10,2,10,7,8,No
29,Travel_Rarely,1176,6673,Sales,College,Medical,Medium,Female,Sales Executive,High,Married,5561,1,No,Excellent,6,5,6,1,2,No
35,Travel_Rarely,1017,7975,Research & Development,Master,Life Sciences,Medium,Male,Research Scientist,Very High,Single,6646,1,No,Excellent,17,3,17,11,8,No
33,Travel_Frequently,1296,9270,Research & Development,Bachelor,Life Sciences,High,Male,Healthcare Representative,Very High,Divorced,7725,3,No,Outstanding,15,2,13,4,7,No
54,Travel_Rarely,397,12870,Human Resources,Master,Medical,High,Male,Human Resources,Medium,Married,10725,2,No,Excellent,16,1,9,7,1,No
36,Travel_Rarely,913,10616,Research & Development,College,Medical,Medium,Male,Manufacturing Director,Medium,Divorced,8847,2,Yes,Excellent,13,2,3,0,2,No
27,Travel_Rarely,1115,2454,Research & Development,Master,Medical,Low,Male,Research Scientist,Very High,Single,2045,0,No,Excellent,5,0,4,1,1,No
20,Travel_Rarely,1362,1211,Research & Development,Below College,Medical,Very High,Male,Research Scientist,High,Single,1009,1,Yes,Excellent,1,5,1,1,1,Yes
33,Travel_Frequently,1076,4018,Research & Development,Bachelor,Life Sciences,Low,Male,Research Scientist,Low,Single,3348,1,Yes,Excellent,10,3,10,9,7,Yes
35,Non-Travel,727,1537,Research & Development,Bachelor,Life Sciences,High,Male,Laboratory Technician,High,Married,1281,1,No,Excellent,1,3,1,0,0,No
23,Travel_Rarely,885,3383,Research & Development,Bachelor,Medical,Low,Male,Research Scientist,Low,Married,2819,2,No,Excellent,5,3,3,0,2,No
25,Travel_Rarely,810,5821,Sales,Bachelor,Life Sciences,Very High,Male,Sales Executive,Medium,Married,4851,0,No,Outstanding,4,4,3,1,2,No
38,Travel_Rarely,243,4834,Sales,Master,Marketing,Very High,Female,Sales Executive,Very High,Single,4028,0,No,Outstanding,8,2,7,0,5,No
29,Travel_Frequently,806,3264,Research & Development,Master,Life Sciences,Medium,Male,Research Scientist,Very High,Divorced,2720,1,No,Excellent,10,5,10,2,8,No
48,Travel_Rarely,817,9744,Sales,Below College,Marketing,Medium,Male,Sales Executive,Medium,Married,8120,3,No,Excellent,12,3,2,2,2,No
27,Travel_Frequently,1410,5576,Sales,Below College,Medical,Very High,Female,Sales Executive,Very High,Divorced,4647,1,Yes,Outstanding,6,3,6,0,4,No
37,Travel_Rarely,1225,5616,Research & Development,College,Life Sciences,Very High,Male,Research Scientist,Very High,Single,4680,3,No,Excellent,4,2,1,0,0,No
50,Travel_Rarely,1207,3865,Research & Development,Below College,Medical,Very High,Male,Laboratory Technician,High,Married,3221,1,Yes,Excellent,20,3,20,3,8,No
34,Travel_Rarely,1442,10345,Research & Development,Bachelor,Medical,Very High,Female,Healthcare Representative,Medium,Single,8621,1,No,Excellent,9,3,8,7,7,No
24,Travel_Rarely,693,5492,Sales,College,Life Sciences,Low,Female,Sales Executive,High,Single,4577,9,No,Excellent,4,3,2,2,0,Yes
39,Travel_Rarely,408,5464,Research & Development,Master,Technical Degree,Very High,Female,Healthcare Representative,High,Single,4553,1,No,Excellent,20,4,20,11,10,No
32,Travel_Rarely,929,6475,Sales,Bachelor,Marketing,Very High,Male,Sales Executive,Very High,Single,5396,1,No,Excellent,10,2,10,0,8,No
50,Travel_Frequently,562,8155,Sales,College,Technical Degree,Medium,Male,Sales Executive,High,Married,6796,3,Yes,Excellent,18,4,4,1,3,Yes
38,Travel_Rarely,827,9150,Research & Development,Master,Life Sciences,Medium,Female,Healthcare Representative,Very High,Single,7625,0,No,Excellent,10,4,9,1,8,No
27,Travel_Rarely,608,8894,Research & Development,College,Life Sciences,High,Female,Manufacturing Director,Low,Married,7412,1,No,Excellent,9,3,9,0,7,No
32,Travel_Rarely,1018,13391,Research & Development,College,Life Sciences,High,Female,Research Director,Very High,Single,11159,3,No,Excellent,10,6,7,7,7,No
47,Travel_Rarely,703,5952,Sales,Master,Marketing,Very High,Male,Sales Executive,Low,Single,4960,2,No,Excellent,20,2,7,1,7,No
40,Travel_Frequently,580,12570,Sales,Master,Life Sciences,Very High,Male,Sales Executive,Low,Married,10475,5,Yes,Outstanding,20,2,18,1,12,No
53,Travel_Rarely,970,17777,Research & Development,Bachelor,Life Sciences,High,Male,Research Director,High,Married,14814,3,No,Excellent,32,3,5,1,3,No
41,Travel_Rarely,427,22969,Human Resources,Master,Human Resources,Medium,Male,Manager,Very High,Divorced,19141,3,No,Excellent,23,2,21,12,6,No
60,Travel_Rarely,1179,6486,Sales,Master,Marketing,Low,Male,Sales Executive,Low,Single,5405,8,No,Excellent,10,1,2,2,2,No
27,Travel_Frequently,294,10552,Research & Development,College,Life Sciences,Very High,Male,Manufacturing Director,Low,Divorced,8793,1,No,Outstanding,9,4,9,1,7,No
41,Travel_Rarely,314,23027,Human Resources,Bachelor,Human Resources,Very High,Male,Manager,High,Married,19189,1,No,Excellent,22,3,22,2,10,No
50,Travel_Rarely,316,4650,Sales,Master,Marketing,Very High,Male,Sales Representative,Medium,Married,3875,7,No,Excellent,4,2,2,2,2,No
28,Travel_Rarely,654,2659,Research & Development,College,Life Sciences,Low,Female,Research Scientist,Medium,Single,2216,7,Yes,Excellent,10,4,7,3,7,Yes
36,Non-Travel,427,14056,Research & Development,Bachelor,Life Sciences,Low,Female,Research Director,Low,Married,11713,9,No,Excellent,10,2,8,0,5,No
